tournament_id,tournament_name,date,award_id,award_name,player_id,player_name,team
WC-1930,1930 FIFA Men's World Cup,1930-07-30,A-4,Golden Boot,P-56486,Guillermo Stábile,Argentina
WC-1930,1930 FIFA Men's World Cup,1930-07-30,A-5,Silver Boot,P-18628,Pedro Cea,Uruguay
WC-1930,1930 FIFA Men's World Cup,1930-07-30,A-6,Bronze Boot,P-71973,Bert Patenaude,United States
WC-1934,1934 FIFA Men's World Cup,1934-06-10,A-4,Golden Boot,P-60513,Oldřich Nejedlý,Czechoslovakia
WC-1934,1934 FIFA Men's World Cup,1934-06-10,A-5,Silver Boot,P-77348,Edmund Conen,Germany
WC-1934,1934 FIFA Men's World Cup,1934-06-10,A-5,Silver Boot,P-56703,Angelo Schiavio,Italy
WC-1938,1938 FIFA Men's World Cup,1938-06-19,A-4,Golden Boot,P-09730,not applicable Leônidas,Brazil
WC-1938,1938 FIFA Men's World Cup,1938-06-19,A-5,Silver Boot,P-65885,Silvio Piola,Italy
WC-1938,1938 FIFA Men's World Cup,1938-06-19,A-5,Silver Boot,P-89034,György Sárosi,Hungary
WC-1938,1938 FIFA Men's World Cup,1938-06-19,A-5,Silver Boot,P-67652,Gyula Zsengellér,Hungary
WC-1950,1950 FIFA Men's World Cup,1950-07-16,A-4,Golden Boot,P-49381,not applicable Ademir,Brazil
WC-1950,1950 FIFA Men's World Cup,1950-07-16,A-5,Silver Boot,P-18523,Oscar Míguez,Uruguay
WC-1950,1950 FIFA Men's World Cup,1950-07-16,A-6,Bronze Boot,P-26928,Estanislau Basora,Spain
WC-1950,1950 FIFA Men's World Cup,1950-07-16,A-6,Bronze Boot,P-22428,not applicable Chico,Brazil
WC-1950,1950 FIFA Men's World Cup,1950-07-16,A-6,Bronze Boot,P-16302,Alcides Ghiggia,Uruguay
WC-1950,1950 FIFA Men's World Cup,1950-07-16,A-6,Bronze Boot,P-65220,Telmo Zarra,Spain
WC-1954,1954 FIFA Men's World Cup,1954-07-04,A-4,Golden Boot,P-07028,Sándor Kocsis,Hungary
WC-1954,1954 FIFA Men's World Cup,1954-07-04,A-5,Silver Boot,P-14406,Josef Hügi,Switzerland
WC-1954,1954 FIFA Men's World Cup,1954-07-04,A-5,Silver Boot,P-05766,Max Morlock,West Germany
WC-1954,1954 FIFA Men's World Cup,1954-07-04,A-5,Silver Boot,P-85257,Erich Probst,Austria
WC-1958,1958 FIFA Men's World Cup,1958-06-29,A-4,Golden Boot,P-77939,Just Fontaine,France
WC-1958,1958 FIFA Men's World Cup,1958-06-29,A-5,Silver Boot,P-38906,not applicable Pelé,Brazil
WC-1958,1958 FIFA Men's World Cup,1958-06-29,A-5,Silver Boot,P-08136,Helmut Rahn,West Germany
WC-1958,1958 FIFA Men's World Cup,1958-06-29,A-8,Best Young Player,P-38906,not applicable Pelé,Brazil
WC-1962,1962 FIFA Men's World Cup,1962-07-17,A-4,Golden Boot,P-21188,Flórián Albert,Hungary
WC-1962,1962 FIFA Men's World Cup,1962-07-17,A-4,Golden Boot,P-46080,not applicable Garrincha,Brazil
WC-1962,1962 FIFA Men's World Cup,1962-07-17,A-4,Golden Boot,P-11702,Valentin Ivanov,Soviet Union
WC-1962,1962 FIFA Men's World Cup,1962-07-17,A-4,Golden Boot,P-55024,Dražan Jerković,Yugoslavia
WC-1962,1962 FIFA Men's World Cup,1962-07-17,A-4,Golden Boot,P-22224,Leonel Sánchez,Chile
WC-1962,1962 FIFA Men's World Cup,1962-07-17,A-4,Golden Boot,P-45310,not applicable Vavá,Brazil
WC-1962,1962 FIFA Men's World Cup,1962-07-17,A-8,Best Young Player,P-21188,Flórián Albert,Hungary
WC-1966,1966 FIFA Men's World Cup,1966-07-30,A-4,Golden Boot,P-74747,not applicable Eusébio,Portugal
WC-1966,1966 FIFA Men's World Cup,1966-07-30,A-5,Silver Boot,P-12272,Helmut Haller,West Germany
WC-1966,1966 FIFA Men's World Cup,1966-07-30,A-6,Bronze Boot,P-72864,Franz Beckenbauer,West Germany
WC-1966,1966 FIFA Men's World Cup,1966-07-30,A-6,Bronze Boot,P-82516,Ferenc Bene,Hungary
WC-1966,1966 FIFA Men's World Cup,1966-07-30,A-6,Bronze Boot,P-34802,Geoff Hurst,England
WC-1966,1966 FIFA Men's World Cup,1966-07-30,A-6,Bronze Boot,P-53800,Valeriy Porkujan,Soviet Union
WC-1966,1966 FIFA Men's World Cup,1966-07-30,A-8,Best Young Player,P-72864,Franz Beckenbauer,West Germany
WC-1970,1970 FIFA Men's World Cup,1970-06-21,A-4,Golden Boot,P-72441,Gerd Müller,West Germany
WC-1970,1970 FIFA Men's World Cup,1970-06-21,A-5,Silver Boot,P-77430,not applicable Jairzinho,Brazil
