iter	Logloss
0	0.6799628731
1	0.6680781854
2	0.6566635698
3	0.6462088254
4	0.6372125095
5	0.6274577202
6	0.61938145
7	0.6104263546
8	0.6024425923
9	0.5955943984
10	0.5894291703
11	0.5825715782
12	0.5769044242
13	0.5714661
14	0.5669356183
15	0.5619012508
16	0.5583412677
17	0.5537981702
18	0.5497864916
19	0.5453176046
20	0.5416137136
21	0.5386235256
22	0.5361630103
23	0.5329380697
24	0.5300046125
25	0.5278951706
26	0.5252295874
27	0.5225746199
28	0.5202207747
29	0.5183756682
30	0.5164044623
31	0.5145448325
32	0.5127067967
33	0.5110679816
34	0.5091700728
35	0.5071864563
36	0.5054923295
37	0.5035952025
38	0.502077455
39	0.5006598631
40	0.4995678858
41	0.4979531418
42	0.4965710556
43	0.4951234084
44	0.4938469012
45	0.4921938948
46	0.4908367573
47	0.4895818104
48	0.4881714972
49	0.4867537548
50	0.4857275644
51	0.4845453371
52	0.483673076
53	0.4826239932
54	0.4819225492
55	0.4809397485
56	0.4798738401
57	0.4787267496
58	0.4779180431
59	0.4769979869
60	0.4758785169
61	0.4751024697
62	0.4742632129
63	0.4735255538
64	0.4726583168
65	0.4718322151
66	0.4710477712
67	0.4704160597
68	0.4699523217
69	0.469082199
70	0.4683917635
71	0.4675927755
72	0.4668042675
73	0.4663845078
74	0.4657860028
75	0.4650510812
76	0.4643987146
77	0.4638856256
78	0.463208388
79	0.4627276903
80	0.4620271818
81	0.4614306122
82	0.4609273264
83	0.460497059
84	0.4600878864
85	0.4595688894
86	0.4589964821
87	0.458485084
88	0.4580065587
89	0.4572991595
90	0.4566807468
91	0.4564235107
92	0.4560058369
93	0.4556519827
94	0.4551692324
95	0.4544953627
96	0.4540262832
97	0.4535296795
98	0.453022431
99	0.4526330685
100	0.4523394571
101	0.4520705873
102	0.4516443019
103	0.4509107439
104	0.4504659305
105	0.4501299721
106	0.4497460448
107	0.4491513105
108	0.4487183555
109	0.4483810158
110	0.4481489928
111	0.4476601141
112	0.4471080942
113	0.4465610712
114	0.4461787731
115	0.4457036496
116	0.4454408384
117	0.4451357083
118	0.4448188261
119	0.4444869608
120	0.4441039689
121	0.4437512096
122	0.4435219702
123	0.4430370153
124	0.4426514724
125	0.4424478059
126	0.4422815074
127	0.4419687181
128	0.4417229342
129	0.4414316425
130	0.441050498
131	0.4404931199
132	0.4401418027
133	0.4398101006
134	0.4394561503
135	0.4390985435
136	0.4388502779
137	0.4385665117
138	0.4381410648
139	0.4380221227
140	0.4378315549
141	0.4374340557
142	0.437251872
143	0.436993692
144	0.4365238245
145	0.4362661713
146	0.4359959282
147	0.4354435192
148	0.4350557227
149	0.4349193062
150	0.4346219904
151	0.4344366551
152	0.4339045802
153	0.4336301615
154	0.433417774
155	0.4330614884
156	0.4329756653
157	0.4328112807
158	0.4324773524
159	0.4322555515
160	0.4319654602
161	0.4315247616
162	0.4313119412
163	0.4310867865
164	0.4308122424
165	0.4307036104
166	0.4305454157
167	0.4304026644
168	0.4300604661
169	0.4297502368
170	0.4296594248
171	0.4294222318
172	0.4293045849
173	0.4291728475
174	0.4291086033
175	0.4286267633
176	0.4282709501
177	0.4280908002
178	0.427595157
179	0.4273491167
180	0.4271180528
181	0.4269975677
182	0.4266753901
183	0.426532675
184	0.426230899
185	0.4260692951
186	0.425788713
187	0.4254495675
188	0.4252757894
189	0.4251519443
190	0.4249010634
191	0.4247897544
192	0.4245011089
193	0.4243287198
194	0.424272428
195	0.4238471661
196	0.4236986557
197	0.4234529621
198	0.423002287
199	0.4228134711
200	0.4226118762
201	0.4223400726
202	0.4220515291
203	0.4217729815
204	0.4215283965
205	0.421453799
206	0.4211089145
207	0.4206835066
208	0.4205186282
209	0.4203296325
210	0.4200829822
211	0.419841199
212	0.4195454016
213	0.4192933894
214	0.4190970499
215	0.4189194791
216	0.4188393971
217	0.4185216139
218	0.4184261706
219	0.4182565131
220	0.4181745451
221	0.4178747988
222	0.4177518487
223	0.4174703357
224	0.4173004131
225	0.4170809682
226	0.4169368604
227	0.416636703
228	0.4165197239
229	0.4163277599
230	0.4161265129
231	0.4160253084
232	0.4159441133
233	0.4155945246
234	0.4151847607
235	0.4149893324
