Rk,Player,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Altay Bayındır,GK,tr Türkiye,25,1998,1.0,3,0,0,0,1,1.6,0.54,-0.4,-0.37,3,7,42.9,33,3,21.2,31.2,2,0.0,7.5,8,2,25.0,0,0.00,12.2,Matches
2,Koen Casteels,GK,be Belgium,31,1992,4.0,2,0,0,0,1,2.7,0.20,+1.7,+0.43,8,31,25.8,107,19,17.8,27.1,35,34.3,34.7,48,4,8.3,4,1.00,13.8,Matches
3,Diogo Costa,GK,pt Portugal,24,1999,5.7,3,1,0,0,0,3.5,0.18,+0.5,+0.11,6,18,33.3,129,29,13.2,27.2,26,3.8,25.6,41,2,4.9,6,1.20,21.0,Matches
4,Gianluigi Donnarumma,GK,it Italy,24,1999,4.0,5,0,0,0,1,6.0,0.30,+2.0,+0.49,10,23,43.5,86,16,22.1,26.3,16,25.0,27.1,41,3,7.3,2,0.50,10.1,Matches
5,Martin Dúbravka,GK,sk Slovakia,35,1989,4.3,5,1,0,0,0,5.0,0.25,0.0,+0.01,18,61,29.5,138,20,31.9,30.1,23,73.9,54.7,57,2,3.5,4,1.00,11.8,Matches
6,Péter Gulácsi,GK,hu Hungary,33,1990,3.0,5,0,0,0,0,5.4,0.39,+0.4,+0.14,10,30,33.3,83,17,28.9,31.8,14,42.9,39.0,43,1,2.3,1,0.33,10.1,Matches
7,Angus Gunn,GK,sct Scotland,28,1996,3.0,7,1,0,0,0,5.3,0.24,-1.7,-0.56,28,69,40.6,95,13,51.6,38.1,22,90.9,62.9,45,2,4.4,10,3.33,18.0,Matches
8,Mert Günok,GK,tr Türkiye,34,1989,4.0,5,0,0,2,1,5.8,0.33,+1.8,+0.46,15,58,25.9,98,17,42.9,40.8,30,53.3,46.8,73,5,6.8,3,0.75,10.2,Matches
9,Matej Kovar,GK,cz Czechia,23,2000,0.4,1,0,0,0,0,0.4,0.19,-0.6,-1.55,5,14,35.7,16,2,81.3,48.8,2,50.0,54.5,2,0,0.0,0,0.00,,Matches
10,Dominik Livaković,GK,hr Croatia,29,1995,3.0,6,0,0,1,0,6.6,0.44,+0.6,+0.20,10,33,30.3,76,20,36.8,32.7,17,29.4,30.1,35,0,0.0,5,1.67,16.3,Matches
11,Andriy Lunin,GK,ua Ukraine,24,1999,1.0,3,0,0,1,0,1.4,0.32,-1.6,-1.59,0,0,,20,6,0.0,17.5,4,0.0,20.5,9,0,0.0,1,1.00,10.0,Matches
12,Mike Maignan,GK,fr France,28,1995,6.3,3,1,0,0,0,5.3,0.25,+2.3,+0.38,8,33,24.2,140,27,21.4,29.7,25,12.0,26.7,78,3,3.8,10,1.67,15.2,Matches
13,Giorgi Mamardashvili,GK,ge Georgia,23,2000,4.0,8,0,0,1,0,12.1,0.33,+4.1,+1.03,18,74,24.3,80,21,53.8,42.9,44,70.5,52.9,106,9,8.5,1,0.25,7.0,Matches
14,Manuel Neuer,GK,de Germany,37,1986,5.3,4,0,0,0,1,4.9,0.36,+1.9,+0.38,9,23,39.1,127,29,15.0,27.2,18,22.2,23.3,42,2,4.8,2,0.40,15.5,Matches
15,Florin Niță,GK,ro Romania,36,1987,4.0,6,0,0,0,0,6.2,0.30,+0.2,+0.06,35,92,38.0,101,11,55.4,40.0,47,76.6,51.8,65,2,3.1,5,1.25,14.0,Matches
16,Jan Oblak,GK,si Slovenia,31,1993,4.3,2,0,0,1,0,5.8,0.28,+3.8,+0.94,30,78,38.5,83,10,60.2,43.8,45,62.2,45.9,99,3,3.0,1,0.25,8.6,Matches
17,Patrick Pentz,GK,at Austria,27,1997,4.0,6,0,0,3,1,4.8,0.43,-0.2,-0.06,18,42,42.9,133,13,27.1,30.1,15,40.0,39.5,56,3,5.4,5,1.25,16.6,Matches
18,Jordan Pickford,GK,eng England,29,1994,7.7,6,0,0,0,0,5.7,0.25,-0.3,-0.04,46,120,38.3,256,38,33.2,32.1,51,68.6,53.4,84,3,3.6,4,0.57,14.9,Matches
19,Predrag Rajković,GK,rs Serbia,28,1995,3.0,2,0,0,0,0,3.1,0.31,+1.1,+0.37,13,46,28.3,85,19,47.1,36.6,17,35.3,36.6,34,4,11.8,1,0.33,8.4,Matches
20,David Raya,GK,es Spain,28,1995,1.0,0,0,0,0,0,0.8,0.21,+0.8,+0.84,3,8,37.5,36,10,11.1,23.7,5,80.0,53.4,9,0,0.0,1,1.00,19.0,Matches
21,Kasper Schmeichel,GK,dk Denmark,37,1986,4.0,4,1,0,1,0,6.0,0.32,+2.0,+0.50,18,37,48.6,91,13,25.3,30.4,21,66.7,49.0,37,2,5.4,0,0.00,8.2,Matches
22,Unai Simón,GK,es Spain,26,1997,6.3,4,0,0,0,1,6.0,0.29,+3.0,+0.49,27,74,36.5,209,29,25.8,30.4,35,57.1,43.6,74,6,8.1,4,0.67,13.9,Matches
23,Łukasz Skorupski,GK,pl Poland,32,1991,1.0,1,1,0,0,0,3.4,0.30,+2.4,+2.40,3,8,37.5,16,5,18.8,29.8,13,38.5,33.9,16,1,6.3,2,2.00,12.9,Matches
24,Yann Sommer,GK,ch Switzerland,35,1988,5.3,4,0,0,0,0,4.5,0.38,+0.5,+0.11,7,33,21.2,148,25,15.5,25.8,18,55.6,44.9,82,7,8.5,1,0.20,9.1,Matches
25,Jindřich Staněk,GK,cz Czechia,27,1996,2.6,4,1,0,0,1,4.6,0.35,+1.6,+0.61,16,41,39.0,51,8,49.0,38.0,24,66.7,51.1,38,3,7.9,0,0.00,7.7,Matches
26,Thomas Strakosha,GK,al Albania,28,1995,3.0,5,0,0,1,1,5.9,0.34,+1.9,+0.62,21,47,44.7,62,14,48.4,37.0,30,56.7,47.0,49,3,6.1,0,0.00,5.9,Matches
27,Wojciech Szczęsny,GK,pl Poland,33,1990,2.0,5,1,0,0,0,4.0,0.23,-1.0,-0.49,6,28,21.4,53,7,39.6,33.6,13,53.8,43.2,28,0,0.0,3,1.50,14.3,Matches
28,Anatolii Trubin,GK,ua Ukraine,22,2001,2.0,1,0,0,0,0,2.8,0.34,+1.8,+0.88,7,18,38.9,55,8,18.2,25.7,14,57.1,46.6,24,0,0.0,3,1.50,16.8,Matches
29,Bart Verbruggen,GK,nl Netherlands,21,2002,6.0,7,1,0,2,1,7.3,0.29,+1.3,+0.22,27,57,47.4,187,21,25.7,27.9,22,40.9,39.5,76,5,6.6,2,0.33,11.7,Matches
