Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Che Adams,FW,sct Scotland,27,1996,2.3,2,0.86,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
2,Michel Aebischer,DF,ch Switzerland,27,1997,5.3,9,1.70,9,0,0,0,0,0,2,0.38,2,0,0,0,0,0,Matches
3,Arlind Ajeti,DF,al Albania,30,1993,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Manuel Akanji,DF,ch Switzerland,28,1995,5.3,7,1.40,7,0,0,0,0,0,2,0.40,2,0,0,0,0,0,Matches
5,Samet Akaydın,DF,tr Türkiye,29,1994,3.7,4,1.07,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Nathan Aké,DF,nl Netherlands,28,1995,5.2,5,0.96,4,0,0,0,0,1,1,0.19,1,0,0,0,0,0,Matches
7,Yunus Akgün,FW,tr Türkiye,23,2000,0.8,3,3.91,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Kerem Aktürkoğlu,"FW,MF",tr Türkiye,25,1998,1.2,5,4.29,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Trent Alexander-Arnold,"MF,DF",eng England,25,1998,1.5,3,2.11,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
10,Denis Alibec,FW,ro Romania,33,1991,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Barış Alper Yılmaz,FW,tr Türkiye,23,2000,5.0,11,2.20,8,0,2,0,1,0,1,0.20,1,0,0,0,0,0,Matches
12,Sandro Altunashvili,MF,ge Georgia,26,1997,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Zeki Amdouni,"MF,FW",ch Switzerland,23,2000,0.6,1,1.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Joachim Andersen,DF,dk Denmark,27,1996,4.0,4,1.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Robert Andrich,MF,de Germany,29,1994,3.5,9,2.82,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
16,Waldemar Anton,DF,de Germany,27,1996,0.4,2,60.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Stuart Armstrong,MF,sct Scotland,31,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Marko Arnautović,FW,at Austria,34,1989,3.1,4,1.29,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Jasir Asani,FW,al Albania,28,1995,2.3,6,2.57,4,0,0,1,1,0,1,0.43,1,0,0,0,0,0,Matches
20,Kristjan Asllani,MF,al Albania,21,2002,3.0,14,4.67,8,4,1,0,0,1,1,0.33,1,0,0,0,0,0,Matches
21,Kaan Ayhan,"MF,DF",tr Türkiye,29,1994,4.0,13,3.27,9,1,0,0,1,2,2,0.50,1,0,0,0,0,1,Matches
22,Alex Baena,"MF,FW",es Spain,22,2001,0.3,2,6.67,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Alexander Bah,"DF,MF",dk Denmark,26,1997,3.1,8,2.57,4,2,0,0,1,1,1,0.32,0,1,0,0,0,0,Matches
24,Nedim Bajrami,"FW,MF",al Albania,24,1999,2.7,3,1.10,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
25,Johan Bakayoko,"FW,DF",be Belgium,20,2003,0.5,2,3.75,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
26,Jure Balkovec,DF,si Slovenia,29,1994,1.3,1,0.99,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
27,Iván Balliu,DF,al Albania,32,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
28,Nicușor Bancu,DF,ro Romania,31,1992,3.0,7,2.33,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
29,Antonín Barák,MF,cz Czechia,29,1994,0.5,4,8.78,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
