Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Che Adams,FW,sct Scotland,27,1996,2.3,51,0,4,27,21,6,51,1,0,0.0,1,100.0,34,211,84,3,3,0,7,4,36,10,Matches
2,Michel Aebischer,DF,ch Switzerland,27,1997,5.3,288,11,57,126,108,3,288,6,1,16.7,3,50.0,178,671,271,4,8,1,5,1,197,18,Matches
3,Arlind Ajeti,DF,al Albania,30,1993,3.0,135,30,84,50,2,1,135,1,1,100.0,0,0.0,76,271,121,1,1,0,0,0,89,0,Matches
4,Manuel Akanji,DF,ch Switzerland,28,1995,5.3,365,70,177,182,7,1,365,0,0,,0,,234,1338,821,2,4,0,1,0,238,1,Matches
5,Samet Akaydın,DF,tr Türkiye,29,1994,3.7,248,27,110,135,4,2,248,0,0,,0,,139,861,461,1,1,0,2,1,168,0,Matches
6,Nathan Aké,DF,nl Netherlands,28,1995,5.2,310,17,93,168,52,9,310,1,1,100.0,0,0.0,183,940,572,7,11,0,0,2,205,11,Matches
7,Yunus Akgün,FW,tr Türkiye,23,2000,0.8,27,0,2,12,13,1,27,4,1,25.0,3,75.0,20,111,48,3,2,0,2,0,22,5,Matches
8,Kerem Aktürkoğlu,"FW,MF",tr Türkiye,25,1998,1.2,60,3,16,19,27,12,60,8,3,37.5,5,62.5,33,339,217,7,3,3,1,0,34,11,Matches
9,Trent Alexander-Arnold,"MF,DF",eng England,25,1998,1.5,121,6,25,66,32,3,121,4,0,0.0,2,50.0,73,349,213,5,3,2,2,1,93,5,Matches
10,Denis Alibec,FW,ro Romania,33,1991,0.3,7,0,0,3,4,1,7,0,0,,0,,6,12,8,0,0,0,2,1,8,2,Matches
11,Barış Alper Yılmaz,FW,tr Türkiye,23,2000,5.0,140,1,13,54,74,13,140,17,8,47.1,7,41.2,85,690,371,14,8,6,8,9,113,36,Matches
12,Sandro Altunashvili,MF,ge Georgia,26,1997,0.6,22,1,6,12,4,0,22,1,0,0.0,1,100.0,10,47,20,1,0,0,1,0,13,0,Matches
13,Zeki Amdouni,"MF,FW",ch Switzerland,23,2000,0.6,27,1,4,14,10,3,27,4,1,25.0,3,75.0,23,159,89,3,0,1,3,3,23,6,Matches
14,Joachim Andersen,DF,dk Denmark,27,1996,4.0,329,12,112,189,28,7,329,1,0,0.0,1,100.0,226,932,540,7,3,1,1,1,246,1,Matches
15,Robert Andrich,MF,de Germany,29,1994,3.5,272,17,52,169,51,2,272,0,0,,0,,153,715,283,1,5,0,2,2,197,3,Matches
16,Waldemar Anton,DF,de Germany,27,1996,0.4,28,5,18,7,3,1,28,0,0,,0,,14,73,40,0,0,0,0,0,17,0,Matches
17,Stuart Armstrong,MF,sct Scotland,31,1992,0.2,15,0,4,3,8,2,15,1,1,100.0,0,0.0,8,63,25,1,0,0,2,1,9,1,Matches
18,Marko Arnautović,FW,at Austria,34,1989,3.1,69,2,4,21,45,8,68,1,1,100.0,0,0.0,47,201,72,1,3,0,5,3,52,16,Matches
19,Jasir Asani,FW,al Albania,28,1995,2.3,63,3,17,28,20,2,63,8,2,25.0,5,62.5,44,328,183,4,1,0,4,1,41,9,Matches
20,Kristjan Asllani,MF,al Albania,21,2002,3.0,211,9,56,112,44,1,211,3,2,66.7,1,33.3,129,515,280,3,1,0,3,0,156,3,Matches
21,Kaan Ayhan,"MF,DF",tr Türkiye,29,1994,4.0,225,24,77,114,34,3,225,1,1,100.0,0,0.0,113,605,318,1,2,0,3,1,157,4,Matches
22,Alex Baena,"MF,FW",es Spain,22,2001,0.3,16,0,6,7,3,0,16,1,0,0.0,1,100.0,9,48,30,1,1,0,1,1,13,4,Matches
23,Alexander Bah,"DF,MF",dk Denmark,26,1997,3.1,184,6,37,91,56,5,184,1,1,100.0,0,0.0,115,398,168,5,2,1,2,1,118,9,Matches
24,Nedim Bajrami,"FW,MF",al Albania,24,1999,2.7,100,0,18,60,25,4,100,7,2,28.6,5,71.4,72,521,180,7,6,2,3,3,76,14,Matches
25,Johan Bakayoko,"FW,DF",be Belgium,20,2003,0.5,27,1,10,3,14,2,27,0,0,,0,,16,71,36,0,0,0,0,0,17,1,Matches
26,Jure Balkovec,DF,si Slovenia,29,1994,1.3,59,6,25,27,7,0,59,0,0,,0,,8,35,15,0,0,0,1,0,17,0,Matches
