match_id,date,team1,team2,team1_score,team2_score,result,winner,loser,goal_difference_team1,total_goals,team1_goal_scorers,team2_goal_scorers,source
fwc2026_friendly_20260607_01,07-06-2026,Colombia,Jordan,2,0,team1_win,Colombia,Jordan,2,2,"Arias (41, 55)",,FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260607_02,07-06-2026,Ecuador,Guatemala,3,0,team1_win,Ecuador,Guatemala,3,3,"J. Caicedo (19 pen), Angulo (73), Estupinan (78)",,FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260607_03,07-06-2026,Croatia,Slovenia,2,1,team1_win,Croatia,Slovenia,1,3,"Modric (51), Pasalic (90+3)",Sporar (83),FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260607_04,07-06-2026,Morocco,Norway,1,1,draw,Draw,,0,2,Brahim Diaz (8),Odegaard (75),FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260607_05,07-06-2026,Venezuela,Türkiye,1,2,team2_win,Türkiye,Venezuela,-1,3,Mendoza (13),"Yilmaz (44), Akgun (54)",FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260607_06,07-06-2026,Argentina,Honduras,2,0,team1_win,Argentina,Honduras,2,2,"Martinez (37), Simeone (54)",,FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260606_01,06-06-2026,Qatar,El Salvador,0,0,draw,Draw,,0,0,,,FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260606_02,06-06-2026,Cabo Verde,Bermuda,3,0,team1_win,Cabo Verde,Bermuda,3,3,"Semedo (33), Rodrigues (49), Nuno da Costa (90+1)",,FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260606_03,06-06-2026,Curaçao,Aruba,4,0,team1_win,Curaçao,Aruba,4,4,"Brenet (54), Antonisse (68), Comenencia (83), J. Bacuna (90+1)",,FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260606_04,06-06-2026,Panama,Bosnia and Herzegovina,1,1,draw,Draw,,0,2,Ramos (45+4),Katic (23),FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260606_05,06-06-2026,Switzerland,Australia,1,1,draw,Draw,,0,2,Ndoye (14),Yengi (56),FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260606_06,06-06-2026,Bolivia,Scotland,0,4,team2_win,Scotland,Bolivia,-4,4,,"Shankland (5), McTominay (23), Adams (30, 45)",FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260606_07,06-06-2026,England,New Zealand,1,0,team1_win,England,New Zealand,1,1,Kane (45+2),,FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260606_08,06-06-2026,Brazil,Egypt,2,1,team1_win,Brazil,Egypt,1,3,"Guimaraes (7), Endrick (52)",Ziko (11),FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260606_09,06-06-2026,USA,Germany,1,2,team2_win,Germany,USA,-1,3,Antonee Robinson (37),"Kai Havertz (2), Leroy Sane (57)",FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260606_10,06-06-2026,Portugal,Chile,2,1,team1_win,Portugal,Chile,1,3,"Goncalo Guedes (58), Bruno Fernandes (75)",Lucas Cepeda (90+2),FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260606_11,06-06-2026,Belgium,Tunisia,5,0,team1_win,Belgium,Tunisia,5,5,"Leandro Trossard (28), Charles De Ketelaere (53), Kevin De Bruyne (65), Dodi Lukebakio (85), Nicolas Raskin (87)",,FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260605_01,05-06-2026,Canada,Republic of Ireland,1,1,draw,Draw,,0,2,Jake O’Brien (23 own goal),Chiedozie Ogbene (60),FIFA pasted text: Pre-World Cup friendly match results
fwc2026_friendly_20260605_02,05-06-2026,Puerto Rico,Saudi Arabia,0,3,team2_win,Saudi Arabia,Puerto Rico,-3,3,,"Sultan Mandash (45+1), Abdullah Al Hamdan (50), Salem Al Dawsari (88)",FIFA pasted text: Pre-World Cup friendly match results
