team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Argentina National Team,Argentina,2024,Argentina,6,5,1,0,5,4,1,1,1,0,0,0,0,2.67,2.6,3,1,0,0,1,9,1,8,10,9,1,8,1,1,0,7,1,60,56,90,529,450,0,5,4,1,1,1,0,0,0,0,6,5,1,32,21,11,8,8,0,57,57,61,67,51,16,35,26,9,32,25,7,60,51,9,2,2,0,0,0,0,2,2,0,2,2,0,4,3,1,0,0,0,1.67,1.8,1,1.67,1.8,1,1.5,1.6,1,0.17,0.2,0,0.33,0.4,0,0.33,0.4,0,0,0,0,6,4,0,0,0,0,5,4,0,0,0,0,1,0,0,0,0,0,0,2,6,6,6,6,0,1,5,5,5,5,0,1,1,1,1,1,100,67,0,0,0,0,100,80,0,0,0,0,100,0,0,0,0,0,0,33,100,100,100,100,0,20,100,100,100,100,0,100,100,100,100,100,2,0,0,2,0,0,0,0,0,33,0,0,40,0,0,0,0,0,83,80,100,-6,83,80,100,17,20,0,0,0,0,100,100,100,6,5,1,100,100,100,4,3,1,67,60,100,0,0,0,0,0,0,33,40,0,67,60,100,0,0,0,5.33,4.20,11.00,1.33,1.6,0.00,83,67,67,50,50,0,0,0,1.39,1.29,1.91,0.87,0.92,0.63,0,0,0,1,1,2,1,0,0,3,0,0,0,0,0,0,0,0,1,17,20,0,0,0,0,0
Uruguay National Team,Uruguay,2024,Uruguay,6,4,2,0,3,2,1,2,1,1,1,1,0,1.83,1.75,2,1,0,0,3,11,4,7,15,10,5,8,3,2,2,6,1,49,45,60,134,180,90,3,2,1,2,1,1,2,2,0,4,2,2,32,23,9,11,8,3,53,54,50,65,46,19,29,19,10,36,27,9,90,61,29,4,3,1,2,1,1,2,2,0,2,2,0,3,1,2,1,1,0,1.5,1.75,1,2.5,2.5,2.5,1.83,2,1.5,0.67,0.5,1,1,1,1,0.67,0.75,0.5,0.33,0.25,0.5,5,3,3,3,1,0,3,2,2,2,1,0,2,1,1,1,0,0,1,3,3,3,5,6,1,2,2,2,3,4,0,1,1,1,2,2,83,50,50,50,17,0,75,50,50,50,25,0,100,50,50,50,0,0,17,50,50,50,83,100,25,50,50,50,75,100,0,50,50,50,100,100,4,2,0,3,1,0,1,1,0,67,33,0,75,25,0,50,50,0,50,50,50,17,50,50,50,33,25,50,33,50,0,67,50,100,4,3,1,67,75,50,3,2,1,50,50,50,1,0,1,17,0,50,33,50,0,50,25,100,17,25,0,5.33,5.75,4.50,1.83,2,1.50,83,50,33,33,33,33,17,0,1.42,1.50,1.26,0.98,0.87,1.21,67,2,1,1,0,0,0,1,1,5,0,0,1,1,0,0,0,1,1,33,25,50,17,25,0,0
Ecuador National Team,Ecuador,2024,Ecuador,4,2,2,0,1,1,0,2,0,2,1,1,0,1.25,1.5,1,2,0,0,8,5,4,1,9,7,2,4,1,3,1,1,0,72,45,180,90,60,180,1,0,1,3,2,1,1,0,1,2,2,0,17,10,7,8,4,4,42,39,45,32,19,13,12,7,5,20,12,8,53,28,25,3,3,0,1,0,1,2,3,-1,2,2,0,1,0,1,1,0,1,1.75,3,0.5,2.25,3.5,1,1.25,2,0.5,1,1.5,0.5,1,1.5,0.5,0.75,1.5,0,0.25,0,0.5,3,3,2,1,0,0,2,2,2,1,0,0,1,1,0,0,0,0,1,1,2,3,4,4,0,0,0,1,2,2,1,1,2,2,2,2,75,75,50,25,0,0,100,100,100,50,0,0,50,50,0,0,0,0,25,25,50,75,100,100,0,0,0,50,100,100,50,50,100,100,100,100,3,1,0,2,1,0,1,0,0,75,25,0,100,50,0,50,0,0,25,50,0,5,25,0,50,75,100,50,25,0,50,50,100,0,3,2,1,75,100,50,2,0,2,50,0,100,0,0,0,0,0,0,50,100,0,25,0,50,25,0,50,4.25,5.00,3.50,2,2,2.00,100,50,25,25,25,25,25,25,0.97,1.09,0.84,1.06,1.12,1.00,25,0,1,0,1,1,0,0,0,2,0,0,0,1,0,1,1,1,0,50,0,100,25,50,0,25
Brazil National Team,Brazil,2024,Brazil,4,2,2,0,1,0,1,3,2,1,0,0,0,1.5,1,2,2,0,0,5,5,2,3,7,2,5,1,4,1,1,0,3,72,180,45,180,180,180,2,1,1,2,1,1,2,1,1,2,1,1,23,15,8,9,4,5,60,63,58,38,20,18,15,6,9,23,14,9,55,27,28,4,1,3,1,1,0,3,0,3,1,0,1,3,2,1,0,0,0,1.5,1,2,1.75,1,2.5,1.25,0.5,2,0.5,0.5,0.5,1.25,1,1.5,1,0.5,1.5,0.25,0.5,0,2,2,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,2,2,3,3,3,4,1,1,2,2,2,2,1,1,1,1,1,2,50,50,25,25,25,0,50,50,0,0,0,0,50,50,50,50,50,0,50,50,75,75,75,100,50,50,100,100,100,100,50,50,50,50,50,100,2,2,1,1,1,0,1,1,1,50,50,25,50,50,0,50,50,50,25,0,50,0,50,50,50,50,50,50,50,50,50,50,50,50,3,1,2,75,50,100,2,1,1,50,50,50,1,1,0,25,50,0,25,0,50,75,100,50,0,0,0,5.75,7.50,4.00,2.25,2,2.50,100,100,75,75,25,0,0,0,1.23,1.29,1.17,1.00,0.79,1.21,75,0,1,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,75,100,50,0,0,0,0
United States Men's National Team,USMNT,2024,USA,3,2,1,0,1,1,0,0,0,0,2,1,1,1,1.5,0,3,0,0,11,3,3,0,6,3,3,2,1,1,2,1,-1,90,90,90,90,180,45,1,1,0,1,0,1,1,1,0,2,1,1,9,9,0,7,3,4,46,56,26,25,19,6,14,11,3,11,8,3,24,20,4,3,2,1,1,0,1,2,2,0,1,1,0,2,1,1,0,0,0,1.67,2,1,2,1.5,3,1,1,1,1,0.5,2,1.33,1,2,1,1,1,0.33,0,1,3,2,1,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,1,2,3,3,3,0,1,2,2,2,2,0,0,0,1,1,1,100,67,33,0,0,0,100,50,0,0,0,0,100,100,100,0,0,0,0,33,67,100,100,100,0,50,100,100,100,100,0,0,0,100,100,100,2,2,0,1,1,0,1,1,0,67,67,0,50,50,0,100,100,0,33,50,0,25,33,50,0,33,0,100,33,50,0,67,50,100,2,2,0,67,100,0,1,1,0,33,50,0,1,0,1,33,0,100,33,50,0,67,50,100,0,0,0,3.00,4.50,0.00,2.33,1.5,4.00,33,33,0,0,0,0,0,0,1.19,1.42,0.72,1.05,1.07,1.03,33,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,67,50,100,0
Mexico National Team,Mexico,2024,Mexico,3,2,1,0,1,1,0,1,1,0,1,0,1,1.33,2,0,3,0,0,9,1,1,0,2,1,1,1,0,0,1,1,-1,273,180,0,273,0,90,2,2,0,0,0,0,2,1,1,1,1,0,19,12,7,7,5,2,61,61,62,36,25,11,17,12,5,19,13,6,36,24,12,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,1,1,0.67,0.5,1,0.33,0.5,0,0.33,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,3,3,3,1,2,2,2,2,2,0,1,1,1,1,1,67,0,0,0,0,0,50,0,0,0,0,0,100,0,0,0,0,0,33,100,100,100,100,100,50,100,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,50,0,76,67,100,0,0,0,0,67,50,100,33,50,0,3,2,1,100,100,100,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,6.33,6.00,7.00,2.33,2.5,2.00,100,67,67,33,33,33,33,0,1.58,1.61,1.51,0.90,1.01,0.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,33,50,0,33,0,100,0
Chile National Team,Chile,2024,Chile,3,1,2,0,0,0,0,2,0,2,1,1,0,0.67,0,1,3,0,0,12,0,1,-1,1,1,0,0,0,1,0,-1,0,0,0,0,273,90,0,2,0,2,0,0,0,3,1,2,0,0,0,7,0,7,8,2,6,49,39,54,16,3,13,8,3,5,8,0,8,39,12,27,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,1,1,0.33,1,0,0,0,0,0.33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,0,1,1,1,1,1,2,2,2,2,2,2,33,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,67,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-102,67,0,100,0,0,0,100,100,100,0,0,0,3,1,2,100,100,100,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,2.33,0.00,3.50,2.67,2,3.00,67,67,67,67,67,33,0,0,0.83,0.63,0.93,1.28,1.91,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,0,100,33,100,0,0
Colombia National Team,Colombia,2024,Colombia,6,3,3,0,4,3,1,1,0,1,1,0,1,2.17,3,1.33,1,0,0,2,12,3,9,15,11,4,10,2,1,2,9,0,45,27,134,180,273,134,3,2,1,2,1,1,1,0,1,4,3,1,26,11,15,13,4,9,55,61,48,60,25,35,27,13,14,33,12,21,94,44,50,8,6,2,1,0,1,7,6,1,4,3,1,2,0,2,0,0,0,2.33,3,1.67,2.5,3.67,1.33,2,3.33,0.67,0.5,0.33,0.67,1.5,2,1,1.33,2,0.67,0.17,0,0.33,6,4,3,1,1,0,3,3,3,1,1,0,3,1,0,0,0,0,0,2,3,5,5,6,0,0,0,2,2,3,0,2,3,3,3,3,100,67,50,17,17,0,100,100,100,33,33,0,100,33,0,0,0,0,0,33,50,83,83,100,0,0,0,67,67,100,0,67,100,100,100,100,5,3,1,3,2,1,2,1,0,83,50,17,100,67,33,67,33,0,67,100,33,51,50,67,33,33,33,33,17,0,33,67,100,33,5,3,2,83,100,67,1,0,1,17,0,33,1,0,1,17,0,33,67,100,33,33,0,67,0,0,0,4.33,3.67,5.00,2.17,1.33,3.00,50,33,33,33,33,0,0,0,1.27,1.13,1.40,0.99,0.87,1.12,50,1,1,0,3,3,1,2,0,1,0,1,0,0,0,0,1,0,0,17,0,33,17,0,33,0
Costa Rica National Team,Costa Rica,2024,Costa Rica,3,1,2,0,1,1,0,1,0,1,1,0,1,1.33,3,0.5,3,0,0,10,2,4,-2,6,3,3,2,0,1,3,1,-3,134,45,0,68,90,60,1,0,1,1,1,0,2,0,2,1,1,0,4,1,3,6,3,3,32,33,31,6,2,4,2,2,0,4,0,4,35,11,24,2,2,0,1,0,1,1,2,-1,1,1,0,1,0,1,1,0,1,1.33,3,0.5,2,3,1.5,0.67,2,0,1.33,1,1.5,1,2,0.5,0.67,2,0,0.33,0,0.5,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,3,3,3,0,0,0,1,1,1,1,1,1,2,2,2,67,67,67,0,0,0,100,100,100,0,0,0,50,50,50,0,0,0,33,33,33,100,100,100,0,0,0,100,100,100,50,50,50,100,100,100,2,1,0,1,1,0,1,0,0,67,33,0,100,100,0,50,0,0,33,100,0,112,33,0,50,33,100,0,67,0,100,33,100,0,2,1,1,67,100,50,2,0,2,67,0,100,0,0,0,0,0,0,33,100,0,33,0,50,33,0,50,1.33,1.00,1.50,2,3,1.50,67,33,33,33,0,0,0,0,0.30,0.36,0.28,1.62,1.63,1.61,67,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,33,0,50,33,0,50,0
Canada National Team,Canada,2024,Canada,6,2,4,0,1,0,1,3,2,1,2,0,2,1,1,1,2,0,0,6,4,7,-3,11,4,7,2,2,2,5,0,-3,134,90,180,77,90,72,2,1,1,2,1,1,3,1,2,2,0,2,25,15,10,16,8,8,48,54,46,51,17,34,22,9,13,29,8,21,83,34,49,2,1,1,2,1,1,0,0,0,1,0,1,4,2,2,1,0,1,1.17,1,1.25,1.83,2,1.75,0.67,1,0.5,1.17,1,1.25,0.67,1,0.5,0.33,0.5,0.25,0.33,0.5,0.25,5,4,1,1,0,0,1,1,1,1,0,0,4,3,0,0,0,0,1,2,5,5,6,6,1,1,1,1,2,2,0,1,4,4,4,4,83,67,17,17,0,0,50,50,50,50,0,0,100,75,0,0,0,0,17,33,83,83,100,100,50,50,50,50,100,100,0,25,100,100,100,100,3,1,0,1,1,0,2,0,0,50,17,0,50,50,0,50,0,0,17,0,25,32,33,50,25,33,50,25,50,50,50,33,0,50,4,1,3,67,50,75,4,1,3,67,50,75,1,1,0,17,50,0,17,0,25,67,100,50,17,0,25,4.17,7.50,2.50,2.67,4,2.00,67,67,67,67,50,33,17,0,1.12,1.23,1.06,1.26,1.09,1.35,33,0,1,1,0,0,0,0,2,0,1,0,1,0,1,1,1,0,2,50,100,25,33,0,50,0
