team,team_code,shirt_number,position,position_name,player_name,first_names,last_names,name_on_shirt,date_of_birth,birth_year,age_on_2026_06_11,club,club_country_code,height_cm,head_coach,coach_first_names,coach_last_name,coach_nationality,source_page,source_generated_utc,source_version,source_url
Algeria,ALG,1,GK,Goalkeeper,MASTIL Melvin,Melvin Feycal,MASTIL,MASTIL,19/02/2000,2000,26,FC Stade Nyonnais (SUI),SUI,194,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland,1,"Monday, 8 June 2026 02:29 UTC",1,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Algeria,ALG,2,DF,Defender,MANDI Aissa,Aissa,MANDI,MANDI,22/10/1991,1991,34,Lille OSC (FRA),FRA,184,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland,1,"Monday, 8 June 2026 02:29 UTC",1,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Algeria,ALG,3,DF,Defender,ABADA Achraf,Achraf,ABADA,ABADA,15/06/1999,1999,26,USM Alger (ALG),ALG,185,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland,1,"Monday, 8 June 2026 02:29 UTC",1,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Algeria,ALG,4,DF,Defender,TOUGAI Mohamed Amine,Mohamed Amine,TOUGAI,TOUGAI,22/01/2000,2000,26,Espérance De Tunisie (TUN),TUN,186,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland,1,"Monday, 8 June 2026 02:29 UTC",1,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Algeria,ALG,5,DF,Defender,BELAID Zineddine,Zineddine,BELAÏD,BELAID,20/03/1999,1999,27,JS Kabylie (ALG),ALG,186,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland,1,"Monday, 8 June 2026 02:29 UTC",1,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Algeria,ALG,6,MF,Midfielder,ZERROUKI Ramiz,Ramiz Larbi,ZERROUKI,ZERROUKI,26/05/1998,1998,28,FC Twente (NED),NED,183,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland,1,"Monday, 8 June 2026 02:29 UTC",1,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Algeria,ALG,7,FW,Forward,MAHREZ Riyad,Riyad Karim,MAHREZ,MAHREZ,21/02/1991,1991,35,Al Ahli FC (KSA),KSA,179,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland,1,"Monday, 8 June 2026 02:29 UTC",1,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Algeria,ALG,8,MF,Midfielder,AOUAR Houssem,Houssem-Eddine Chaabane,AOUAR,AOUAR,30/06/1998,1998,27,Al Ittihad (KSA),KSA,175,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland,1,"Monday, 8 June 2026 02:29 UTC",1,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Algeria,ALG,9,FW,Forward,GOUIRI Amine,Amine Ferid,GHOUIRI,GOUIRI,16/02/2000,2000,26,Olympique Marseille (FRA),FRA,180,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland,1,"Monday, 8 June 2026 02:29 UTC",1,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
Algeria,ALG,10,MF,Midfielder,CHAIBI Fares,Fares,CHAIBI,CHAIBI,28/11/2002,2002,23,Eintracht Frankfurt (GER),GER,183,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland,1,"Monday, 8 June 2026 02:29 UTC",1,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf
