team,team_code,players,goalkeepers,defenders,midfielders,forwards,head_coach,coach_nationality,source_page
Algeria,ALG,26,3,9,7,7,PETKOVIC Vladimir,Switzerland,1
Argentina,ARG,26,3,8,8,7,SCALONI Lionel,Argentina,2
Australia,AUS,26,3,10,5,8,POPOVIC Tony,Australia,3
Austria,AUT,26,3,8,11,4,RANGNICK Ralf,Germany,4
Belgium,BEL,26,3,9,8,6,GARCIA Rudi,France,5
Bosnia And Herzegovina,BIH,26,3,8,8,7,BARBAREZ Sergej,Bosnia And Herzegovina,6
Brazil,BRA,26,3,9,5,9,ANCELOTTI Carlo,Italy,7
Cabo Verde,CPV,26,3,8,12,3,BUBISTA,Cabo Verde,8
Canada,CAN,26,3,9,8,6,MARSCH Jesse,USA,9
Colombia,COL,26,3,9,8,6,LORENZO Nestor,Argentina,10
Congo DR,COD,26,3,8,8,7,DESABRE Sebastien,France,11
Côte D'Ivoire,CIV,26,3,8,6,9,FAE Emerse,Côte D'Ivoire,12
Croatia,CRO,26,3,8,9,6,DALIC Zlatko,Croatia,13
Curaçao,CUW,26,3,8,7,8,ADVOCAAT Dick,Netherlands,14
Czechia,CZE,26,3,9,7,7,KOUBEK Miroslav,Czech Republic,15
Ecuador,ECU,26,3,8,8,7,BECCACECE Sebastian,Argentina,16
Egypt,EGY,26,4,8,7,7,HOSSAM HASSAN,Egypt,17
England,ENG,26,3,9,7,7,TUCHEL Thomas,Germany,18
France,FRA,26,3,9,7,7,DESCHAMPS Didier,France,19
Germany,GER,26,3,8,11,4,NAGELSMANN Julian,Germany,20
Ghana,GHA,26,3,9,6,8,CARLOS QUEIROZ,Portugal,21
Haiti,HAI,26,3,8,6,9,MIGNE Sebastien,France,22
IR Iran,IRN,26,3,9,8,6,GHALEHNOY Amir,IR Iran,23
Iraq,IRQ,26,3,9,7,7,ARNOLD Graham,Australia,24
Japan,JPN,26,3,9,10,4,MORIYASU Hajime,Japan,25
Jordan,JOR,26,3,9,7,7,SELLAMI Jamal,Morocco,26
Korea Republic,KOR,26,3,9,11,3,HONG Myungbo,Korea Republic,27
Mexico,MEX,26,3,7,8,8,AGUIRRE Javier,Mexico,28
Morocco,MAR,26,3,9,9,5,OUAHBI Mohamed,Morocco,29
Netherlands,NED,26,3,8,8,7,KOEMAN Ronald,Netherlands,30
New Zealand,NZL,26,3,9,10,4,BAZELEY Darren,New Zealand,31
Norway,NOR,26,3,8,10,5,SOLBAKKEN Stale,Norway,32
Panama,PAN,26,3,11,8,4,CHRISTIANSEN Thomas,Spain,33
Paraguay,PAR,26,3,8,9,6,ALFARO Gustavo,Argentina,34
Portugal,POR,26,3,9,6,8,MARTINEZ Roberto,Spain,35
Qatar,QAT,26,3,9,5,9,LOPETEGUI Julen,Spain,36
Saudi Arabia,KSA,26,3,10,6,7,DONIS Georgios,Greece,37
Scotland,SCO,26,3,10,6,7,CLARKE Steve,Scotland,38
Senegal,SEN,26,3,8,7,8,THIAW Pape,Senegal,39
South Africa,RSA,26,3,10,5,8,BROOS Hugo,Belgium,40
Spain,ESP,26,3,8,7,8,DE LA FUENTE Luis,Spain,41
Sweden,SWE,26,3,11,7,5,POTTER Graham,England,42
Switzerland,SUI,26,3,8,8,7,YAKIN Murat,Switzerland,43
Tunisia,TUN,26,3,10,8,5,LAMOUCHI Sabri,France,44
Türkiye,TUR,26,3,9,5,9,MONTELLA Vincenzo,Italy,45
Uruguay,URU,26,3,7,11,5,BIELSA Marcelo,Argentina,46
USA,USA,26,3,10,6,7,POCHETTINO Mauricio,Argentina,47
Uzbekistan,UZB,26,3,10,10,3,CANNAVARO Fabio,Italy,48
