date,home_team,away_team,team,scorer,assist,minute,own_goal,penalty
1930-07-13,France,Mexico,France,Lucien Laurent,,19,False,False
1930-07-13,France,Mexico,France,Marcel Langiller,,40,False,False
1930-07-13,France,Mexico,France,André Maschinot,,43,False,False
1930-07-13,France,Mexico,Mexico,Juan Carreño,,70,False,False
1930-07-13,France,Mexico,France,André Maschinot,,87,False,False
1930-07-13,United States,Belgium,United States,Bart McGhee,,23,False,False
1930-07-13,United States,Belgium,United States,Tom Florie,,45,False,False
1930-07-13,United States,Belgium,United States,Bert Patenaude,,69,False,False
1930-07-14,Yugoslavia,Brazil,Yugoslavia,Aleksandar Tirnanić,,21,False,False
1930-07-14,Yugoslavia,Brazil,Yugoslavia,Ivan Bek,,30,False,False
1930-07-14,Yugoslavia,Brazil,Brazil,not applicable Preguinho,,62,False,False
1930-07-14,Romania,Peru,Romania,Adalbert Deşu,,1,False,False
1930-07-14,Romania,Peru,Peru,Luis Souza Ferreira,,75,False,False
1930-07-14,Romania,Peru,Romania,Constantin Stanciu,,79,False,False
1930-07-14,Romania,Peru,Romania,Miklós Kovács,,89,False,False
1930-07-15,Argentina,France,Argentina,Luis Monti,,81,False,False
1930-07-16,Chile,Mexico,Chile,Carlos Vidal,,3,False,False
1930-07-16,Chile,Mexico,Chile,Manuel Rosas,,52,True,False
1930-07-16,Chile,Mexico,Chile,Carlos Vidal,,65,False,False
1930-07-17,Yugoslavia,Bolivia,Yugoslavia,Ivan Bek,,60,False,False
1930-07-17,Yugoslavia,Bolivia,Yugoslavia,Blagoje Marjanović,,65,False,False
1930-07-17,Yugoslavia,Bolivia,Yugoslavia,Ivan Bek,,67,False,False
1930-07-17,Yugoslavia,Bolivia,Yugoslavia,Đorđe Vujadinović,,85,False,False
1930-07-17,United States,Paraguay,United States,Bert Patenaude,,10,False,False
1930-07-17,United States,Paraguay,United States,Bert Patenaude,,15,False,False
1930-07-17,United States,Paraguay,United States,Bert Patenaude,,50,False,False
1930-07-18,Uruguay,Peru,Uruguay,Héctor Castro,,65,False,False
1930-07-19,Chile,France,Chile,Guillermo Subiabre,,67,False,False
1930-07-19,Argentina,Mexico,Argentina,Guillermo Stábile,,8,False,False
1930-07-19,Argentina,Mexico,Argentina,Adolfo Zumelzú,,12,False,False
1930-07-19,Argentina,Mexico,Argentina,Guillermo Stábile,,17,False,False
1930-07-19,Argentina,Mexico,Mexico,Manuel Rosas,,42,False,True
1930-07-19,Argentina,Mexico,Argentina,Francisco Varallo,,53,False,False
1930-07-19,Argentina,Mexico,Argentina,Adolfo Zumelzú,,55,False,False
1930-07-19,Argentina,Mexico,Mexico,Manuel Rosas,,65,False,False
1930-07-19,Argentina,Mexico,Mexico,Roberto Gayón,,75,False,False
1930-07-19,Argentina,Mexico,Argentina,Guillermo Stábile,,80,False,False
1930-07-20,Brazil,Bolivia,Brazil,not applicable Moderato,,37,False,False
1930-07-20,Brazil,Bolivia,Brazil,not applicable Preguinho,,57,False,False
1930-07-20,Brazil,Bolivia,Brazil,not applicable Moderato,,73,False,False
1930-07-20,Brazil,Bolivia,Brazil,not applicable Preguinho,,83,False,False
1930-07-20,Paraguay,Belgium,Paraguay,Luis Vargas Peña,,40,False,False
1930-07-21,Uruguay,Romania,Uruguay,Pablo Dorado,,7,False,False
1930-07-21,Uruguay,Romania,Uruguay,Héctor Scarone,,26,False,False
1930-07-21,Uruguay,Romania,Uruguay,Peregrino Anselmo,,31,False,False
1930-07-21,Uruguay,Romania,Uruguay,Pedro Cea,,35,False,False
1930-07-22,Argentina,Chile,Argentina,Guillermo Stábile,,12,False,False
1930-07-22,Argentina,Chile,Argentina,Guillermo Stábile,,13,False,False
1930-07-22,Argentina,Chile,Chile,Guillermo Subiabre,,15,False,False
1930-07-22,Argentina,Chile,Argentina,Mario Evaristo,,51,False,False
1930-07-26,Argentina,United States,Argentina,Luis Monti,,20,False,False
