date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,stage_name,knockout_stage,extra_time,penalty_shootout,match_id
1930-07-13,France,Mexico,4,1,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-01
1930-07-13,United States,Belgium,3,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-02
1930-07-14,Yugoslavia,Brazil,2,1,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-03
1930-07-14,Romania,Peru,3,1,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-04
1930-07-15,Argentina,France,1,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-05
1930-07-16,Chile,Mexico,3,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-06
1930-07-17,Yugoslavia,Bolivia,4,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-07
1930-07-17,United States,Paraguay,3,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-08
1930-07-18,Uruguay,Peru,1,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-09
1930-07-19,Chile,France,1,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-10
1930-07-19,Argentina,Mexico,6,3,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-11
1930-07-20,Brazil,Bolivia,4,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-12
1930-07-20,Paraguay,Belgium,1,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-13
1930-07-21,Uruguay,Romania,4,0,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-14
1930-07-22,Argentina,Chile,3,1,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,group stage,0,0,0,M-1930-15
1930-07-26,Argentina,United States,6,1,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,semi-finals,1,0,0,M-1930-16
1930-07-27,Uruguay,Yugoslavia,6,1,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,semi-finals,1,0,0,M-1930-17
1930-07-30,Uruguay,Argentina,4,2,1930 FIFA Men's World Cup,Montevideo,Uruguay,True,final,1,0,0,M-1930-18
1934-05-27,Austria,France,3,2,1934 FIFA Men's World Cup,Turin,Italy,True,round of 16,1,1,0,M-1934-01
1934-05-27,Czechoslovakia,Romania,2,1,1934 FIFA Men's World Cup,Trieste,Italy,True,round of 16,1,0,0,M-1934-02
1934-05-27,Germany,Belgium,5,2,1934 FIFA Men's World Cup,Florence,Italy,True,round of 16,1,0,0,M-1934-03
1934-05-27,Hungary,Egypt,4,2,1934 FIFA Men's World Cup,Naples,Italy,True,round of 16,1,0,0,M-1934-04
1934-05-27,Italy,United States,7,1,1934 FIFA Men's World Cup,Rome,Italy,True,round of 16,1,0,0,M-1934-05
1934-05-27,Spain,Brazil,3,1,1934 FIFA Men's World Cup,Genoa,Italy,True,round of 16,1,0,0,M-1934-06
1934-05-27,Sweden,Argentina,3,2,1934 FIFA Men's World Cup,Bologna,Italy,True,round of 16,1,0,0,M-1934-07
1934-05-27,Switzerland,Netherlands,3,2,1934 FIFA Men's World Cup,Milan,Italy,True,round of 16,1,0,0,M-1934-08
1934-05-31,Austria,Hungary,2,1,1934 FIFA Men's World Cup,Bologna,Italy,True,quarter-finals,1,0,0,M-1934-09
1934-05-31,Czechoslovakia,Switzerland,3,2,1934 FIFA Men's World Cup,Turin,Italy,True,quarter-finals,1,0,0,M-1934-10
1934-05-31,Germany,Sweden,2,1,1934 FIFA Men's World Cup,Milan,Italy,True,quarter-finals,1,0,0,M-1934-11
1934-05-31,Italy,Spain,1,1,1934 FIFA Men's World Cup,Florence,Italy,True,quarter-finals,1,1,0,M-1934-12
1934-06-01,Italy,Spain,1,0,1934 FIFA Men's World Cup,Florence,Italy,True,quarter-finals,1,0,0,M-1934-13
1934-06-03,Czechoslovakia,Germany,3,1,1934 FIFA Men's World Cup,Rome,Italy,True,semi-finals,1,0,0,M-1934-14
1934-06-03,Italy,Austria,1,0,1934 FIFA Men's World Cup,Milan,Italy,True,semi-finals,1,0,0,M-1934-15
1934-06-07,Germany,Austria,3,2,1934 FIFA Men's World Cup,Naples,Italy,True,third-place match,1,0,0,M-1934-16
1934-06-10,Italy,Czechoslovakia,2,1,1934 FIFA Men's World Cup,Rome,Italy,True,final,1,1,0,M-1934-17
1938-06-04,Switzerland,Germany,1,1,1938 FIFA Men's World Cup,Paris,France,True,round of 16,1,1,0,M-1938-01
1938-06-05,Cuba,Romania,3,3,1938 FIFA Men's World Cup,Toulouse,France,True,round of 16,1,1,0,M-1938-02
1938-06-05,France,Belgium,3,1,1938 FIFA Men's World Cup,Paris,France,True,round of 16,1,0,0,M-1938-03
1938-06-05,Hungary,Dutch East Indies,6,0,1938 FIFA Men's World Cup,Reims,France,True,round of 16,1,0,0,M-1938-04
1938-06-05,Italy,Norway,2,1,1938 FIFA Men's World Cup,Marseille,France,True,round of 16,1,1,0,M-1938-05
1938-06-05,Brazil,Poland,6,5,1938 FIFA Men's World Cup,Strasbourg,France,True,round of 16,1,1,0,M-1938-06
