date,match_id,home_team,away_team,team,player_id,player_name,position,starter,substitute,tournament_id
1970-05-31,M-1970-01,Mexico,Soviet Union,Mexico,P-66980,Ignacio Calderón,GK,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Mexico,P-64553,Gustavo Peña,DF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Mexico,P-42664,Mario Pérez,DF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Mexico,P-69898,Guillermo Hernández,MF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Mexico,P-56971,Horacio López Salgado,FW,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Mexico,P-96177,José Vantolrá,DF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Mexico,P-38555,Javier Guzmán,DF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Mexico,P-85808,Héctor Pulido,MF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Mexico,P-32657,Mario Velarde,MF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Mexico,P-07812,Javier Valdivia,FW,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Mexico,P-48001,Javier Fragoso,FW,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Mexico,P-96873,Antonio Munguía,MF,False,True,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Soviet Union,P-79597,Anzor Kavazashvili,GK,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Soviet Union,P-17002,Vladimir Kaplichny,DF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Soviet Union,P-52906,Evgeny Lovchev,DF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Soviet Union,P-70408,Gennady Logofet,DF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Soviet Union,P-28651,Albert Shesternyov,DF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Soviet Union,P-33189,Kakhi Asatiani,MF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Soviet Union,P-50044,Vladimir Muntyan,MF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Soviet Union,P-60181,Viktor Serebryanikov,MF,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Soviet Union,P-02102,Anatoliy Byshovets,FW,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Soviet Union,P-72049,Gennady Yevriuzhikin,FW,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Soviet Union,P-43733,Givi Nodia,FW,True,False,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Soviet Union,P-59828,Anatoliy Puzach,FW,False,True,WC-1970
1970-05-31,M-1970-01,Mexico,Soviet Union,Soviet Union,P-98262,Vitaly Khmelnitsky,FW,False,True,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Uruguay,P-53140,Ladislao Mazurkiewicz,GK,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Uruguay,P-47978,Atilio Ancheta,DF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Uruguay,P-83747,Roberto Matosas,DF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Uruguay,P-63224,Luis Ubiña,DF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Uruguay,P-83931,Julio Montero Castillo,MF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Uruguay,P-50162,Juan Mujica,DF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Uruguay,P-81929,Luis Cubilla,MF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Uruguay,P-47892,Pedro Rocha,MF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Uruguay,P-99710,Víctor Espárrago,FW,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Uruguay,P-40429,Ildo Maneiro,MF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Uruguay,P-08424,Julio Losada,MF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Uruguay,P-82186,Julio César Cortés,FW,False,True,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Israel,P-09393,Yitzchak Vissoker,GK,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Israel,P-87631,David Primo,DF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Israel,P-78005,Zvi Rosen,DF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Israel,P-94998,Shmuel Rosenthal,MF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Israel,P-95383,Itzhak Shum,MF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Israel,P-62232,Giora Spiegel,MF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Israel,P-95869,Yehoshua Feigenbaum,FW,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Israel,P-77834,Mordechai Spiegler,MF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Israel,P-10922,Yisha'ayahu Schwager,DF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Israel,P-37385,Danny Shmulevich-Rom,DF,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Israel,P-86314,Rachamim Talbi,FW,True,False,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Israel,P-08449,Shraga Bar,DF,False,True,WC-1970
1970-06-02,M-1970-02,Uruguay,Israel,Israel,P-60216,Yochanan Vollach,DF,False,True,WC-1970
1970-06-02,M-1970-03,England,Romania,England,P-74455,Gordon Banks,GK,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,England,P-79568,Keith Newton,RB,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,England,P-40921,Terry Cooper,LB,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,England,P-62668,Alan Mullery,DM,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,England,P-49952,Brian Labone,CB,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,England,P-52816,Bobby Moore,CB,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,England,P-88728,Francis Lee,CF,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,England,P-22841,Alan Ball,CM,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,England,P-08601,Bobby Charlton,AM,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,England,P-34802,Geoff Hurst,CF,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,England,P-34233,Martin Peters,CM,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,England,P-22176,Tommy Wright,DF,False,True,WC-1970
1970-06-02,M-1970-03,England,Romania,England,P-11917,Peter Osgood,FW,False,True,WC-1970
1970-06-02,M-1970-03,England,Romania,Romania,P-35798,Lajos Sătmăreanu,RB,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,Romania,P-53044,Nicolae Lupescu,CB,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,Romania,P-61942,Mihai Mocanu,LB,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,Romania,P-98936,Cornel Dinu,CB,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,Romania,P-02403,Emerich Dembrovschi,CF,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,Romania,P-51434,Florea Dumitrache,CF,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,Romania,P-41601,Radu Nunweiller,AM,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,Romania,P-09236,Mircea Lucescu,RW,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,Romania,P-26224,Ion Dumitru,DM,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,Romania,P-21011,Gheorghe Tătaru,LW,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,Romania,P-26945,Stere Adamache,GK,True,False,WC-1970
1970-06-02,M-1970-03,England,Romania,Romania,P-50489,Alexandru Neagu,FW,False,True,WC-1970
1970-06-02,M-1970-04,Peru,Bulgaria,Peru,P-15677,Luis Rubiños,GK,True,False,WC-1970
1970-06-02,M-1970-04,Peru,Bulgaria,Peru,P-30953,Eloy Campos,DF,True,False,WC-1970
1970-06-02,M-1970-04,Peru,Bulgaria,Peru,P-38349,Orlando de la Torre,DF,True,False,WC-1970
1970-06-02,M-1970-04,Peru,Bulgaria,Peru,P-76522,Héctor Chumpitaz,DF,True,False,WC-1970
