date,home_team,away_team,team,player,minute
1970-05-31,Mexico,Soviet Union,Soviet Union,Anatoliy Puzach,46
1970-05-31,Mexico,Soviet Union,Soviet Union,Vitaly Khmelnitsky,66
1970-05-31,Mexico,Soviet Union,Mexico,Antonio Munguía,67
1970-06-02,Uruguay,Israel,Uruguay,Julio César Cortés,12
1970-06-02,Uruguay,Israel,Israel,Shraga Bar,46
1970-06-02,Uruguay,Israel,Israel,Yochanan Vollach,57
1970-06-02,England,Romania,England,Tommy Wright,51
1970-06-02,England,Romania,Romania,Alexandru Neagu,73
1970-06-02,England,Romania,England,Peter Osgood,75
1970-06-02,Peru,Bulgaria,Peru,Javier González,29
1970-06-02,Peru,Bulgaria,Peru,Hugo Sotil,51
1970-06-02,Peru,Bulgaria,Bulgaria,Dimitar Marashliev,59
1970-06-02,Peru,Bulgaria,Bulgaria,Georgi Asparuhov,73
1970-06-03,Belgium,El Salvador,El Salvador,Santiago Cortés,67
1970-06-03,Belgium,El Salvador,Belgium,Odilon Polleunis,79
1970-06-03,Belgium,El Salvador,El Salvador,Genaro Sarmeno,80
1970-06-03,Italy,Sweden,Italy,Roberto Rosato,37
1970-06-03,Italy,Sweden,Sweden,Inge Ejderstedt,68
1970-06-03,Italy,Sweden,Sweden,Göran Nicklasson,80
1970-06-03,Brazil,Czechoslovakia,Czechoslovakia,Andrej Kvašňák,46
1970-06-03,Brazil,Czechoslovakia,Brazil,not applicable Caju,62
1970-06-03,Brazil,Czechoslovakia,Czechoslovakia,Bohumil Veselý,75
1970-06-03,West Germany,Morocco,West Germany,Jürgen Grabowski,46
1970-06-03,West Germany,Morocco,Morocco,Abdelkader El Khiati,56
1970-06-03,West Germany,Morocco,Morocco,Ahmed Faras,72
1970-06-03,West Germany,Morocco,West Germany,Hannes Löhr,77
1970-06-06,Soviet Union,Belgium,Soviet Union,Evgeny Lovchev,34
1970-06-06,Soviet Union,Belgium,Soviet Union,Nikolay Kiselyov,73
1970-06-06,Uruguay,Italy,Italy,Giuseppe Furino,46
1970-06-06,Uruguay,Italy,Uruguay,Oscar Zubia,70
1970-06-06,Romania,Czechoslovakia,Czechoslovakia,Jozef Adamec,46
1970-06-06,Romania,Czechoslovakia,Romania,Gheorghe Tătaru,69
1970-06-06,Romania,Czechoslovakia,Czechoslovakia,František Veselý,69
1970-06-06,Romania,Czechoslovakia,Romania,Vasile Gergely,81
1970-06-06,Peru,Morocco,Peru,Luis Cruzado,56
1970-06-06,Peru,Morocco,Morocco,Jalili Fadili,66
1970-06-06,Peru,Morocco,Peru,Oswaldo Ramírez,76
1970-06-06,Peru,Morocco,Morocco,Ahmed Alaoui,81
1970-06-07,Mexico,El Salvador,Mexico,Horacio López Salgado,46
1970-06-07,Mexico,El Salvador,El Salvador,Sergio Méndez,58
1970-06-07,Mexico,El Salvador,El Salvador,Mario Monge,68
1970-06-07,Mexico,El Salvador,Mexico,Juan Ignacio Basaguren,76
1970-06-07,Sweden,Israel,Israel,Roni Shuruk,51
1970-06-07,Sweden,Israel,Sweden,Sten Pålsson,75
1970-06-07,Brazil,England,England,Colin Bell,63
1970-06-07,Brazil,England,England,Jeff Astle,63
1970-06-07,Brazil,England,Brazil,not applicable Roberto,68
1970-06-07,West Germany,Bulgaria,Bulgaria,Vasil Mitkov,46
1970-06-07,West Germany,Bulgaria,West Germany,Jürgen Grabowski,58
1970-06-07,West Germany,Bulgaria,Bulgaria,Aleksandar Shalamanov,58
1970-06-07,West Germany,Bulgaria,West Germany,Wolfgang Weber,72
1970-06-10,Soviet Union,El Salvador,Soviet Union,Gennady Yevriuzhikin,46
1970-06-10,Soviet Union,El Salvador,Soviet Union,Kakhi Asatiani,81
1970-06-10,Soviet Union,El Salvador,El Salvador,Ernesto Aparicio,82
1970-06-10,Soviet Union,El Salvador,El Salvador,Genaro Sarmeno,86
1970-06-10,Sweden,Uruguay,Sweden,Tom Turesson,58
1970-06-10,Sweden,Uruguay,Uruguay,Dagoberto Fontes,61
1970-06-10,Sweden,Uruguay,Sweden,Ove Grahn,84
1970-06-10,Brazil,Romania,Romania,Necula Răducanu,27
1970-06-10,Brazil,Romania,Brazil,Marco Antônio,60
1970-06-10,Brazil,Romania,Romania,Gheorghe Tătaru,72
1970-06-10,Brazil,Romania,Brazil,not applicable Edu,74
1970-06-10,West Germany,Peru,West Germany,Bernd Patzke,46
1970-06-10,West Germany,Peru,Peru,Oswaldo Ramírez,56
1970-06-10,West Germany,Peru,Peru,Luis Cruzado,72
1970-06-10,West Germany,Peru,West Germany,Jürgen Grabowski,75
1970-06-11,Mexico,Belgium,Mexico,Juan Ignacio Basaguren,46
1970-06-11,Mexico,Belgium,Belgium,Johan Devrindt,65
1970-06-11,Italy,Israel,Italy,Gianni Rivera,46
1970-06-11,Italy,Israel,Israel,Danny Shmulevich-Rom,46
1970-06-11,England,Czechoslovakia,England,Alan Ball,65
1970-06-11,England,Czechoslovakia,England,Peter Osgood,65
1970-06-11,England,Czechoslovakia,Czechoslovakia,Ján Čapkovič,72
1970-06-11,Bulgaria,Morocco,Bulgaria,Ivan Dimitrov,42
1970-06-11,Bulgaria,Morocco,Morocco,Moustapha Choukri,46
1970-06-11,Bulgaria,Morocco,Bulgaria,Hristo Bonev,50
1970-06-11,Bulgaria,Morocco,Morocco,Ahmed Faras,74
1970-06-14,Brazil,Peru,Peru,Hugo Sotil,54
1970-06-14,Brazil,Peru,Peru,Eladio Reyes,61
1970-06-14,Brazil,Peru,Brazil,not applicable Caju,67
1970-06-14,Brazil,Peru,Brazil,not applicable Roberto,80
